catg,subcatg,entity,count,TA_score
Calefacción y ventilación,Control de Temperatura Automotriz,probabilidad,2,47.44
Accesorios para coches,Historial y Mantenimiento de Vehículos,proceso de decisión de compra,2,43.8
Aire acondicionado,Diagnóstico del Sistema,proceso termodinámico,1,24.69
Carrocería,Accesorios de Molduras Automotrices,producto químico,3,44.0
Carrocería,Sistemas de Cierre Centralizado,programación,3,50.44
Accesorios para coches,Dispositivos de Monitoreo Vehicular,proteo,1,39.06
Aire acondicionado,Diagnóstico del Sistema,protocolo de montreal,1,58.28
Accesorios para coches,Regulaciones y Normativas de Tráfico,prórroga (deporte),5,39.0
Aceites y líquidos,Evaluación de Líquidos de Frenos,punto de ebullición,4,55.84
Accesorios para coches,Soluciones de Purificación de Aire,purificador de aire,1,61.53
Accesorios para coches,Historial y Mantenimiento de Vehículos,página web,2,17.86
Aire acondicionado,Mantenimiento del Compresor,quemadura,1,39.03
Aceite de motor,Uso de Aditivos,química,6,43.53
Accesorios para coches,Soluciones de Purificación de Aire,radiación ultravioleta,2,39.62
Accesorios para coches,Sistemas de Antenas Automotrices,radiador,1,53.03
Aire acondicionado,Diagnóstico del Sistema,radiador (motores),2,58.16
Aceite de motor,Uso de Aditivos,radical (química),6,38.3
Accesorios para coches,Sistemas de Antenas Automotrices,radio (medio de comunicación),2,52.0
Accesorios para coches,Sistemas de Antenas Automotrices,radio digital,2,56.28
Accesorios para coches,Sistemas de Antenas Automotrices,radiocomunicación,1,67.3
Caja de cambios,Clasificación de Transmisiones,realidad,3,52.28
Caja de cambios,Clasificación de Transmisiones,realimentación,3,56.6
Aire acondicionado,Diagnóstico del Sistema,reciclaje,1,46.2
Amortiguación,Evaluación de Calidad de Amortiguadores,recta,3,41.03
Accesorios para coches,Regulaciones y Normativas de Tráfico,red social,1,38.03
Aceite de motor,Uso de Aditivos,reducción-oxidación,48,45.16
Aire acondicionado,Diagnóstico del Sistema,refrigeración,9,43.6
Aire acondicionado,Diagnóstico del Sistema,refrigeración por compresión,1,64.1
Aire acondicionado,Limpieza y Conservación,refrigerante,10,55.2
Aire acondicionado,Diagnóstico del Sistema,refrigerante (refrigeración),2,43.3
Aire acondicionado,Diagnóstico del Sistema,reglamento,1,35.62
Caja de cambios,Dinámica de Velocidades,relación de transmisión,8,56.12
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,relé,34,71.94
Aceite de motor,Temperatura del Aceite,rendimiento térmico,1,20.08
Carrocería,Accesorios de Molduras Automotrices,resina epoxi,1,57.28
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,resistencia eléctrica,3,42.2
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,resistor,34,61.72
Aire acondicionado,Mantenimiento del Compresor,respetuoso con el medio ambiente,1,22.4
Caja de cambios,Dinámica de Velocidades,revolución por minuto,8,35.6
Accesorios para coches,Regulaciones y Normativas de Tráfico,riesgo,2,41.8
Carrocería,Elementos de Seguridad Estructural,rigidez,2,61.12
Carrocería,Elementos de Seguridad Estructural,rigidez estructural,2,45.62
Amortiguación,Evaluación de Calidad de Amortiguadores,rodadura,3,42.62
Accesorios para coches,Dispositivos de Monitoreo Vehicular,rodas,1,47.4
"Correas, cadenas, rodillos",Aplicaciones en Motores,rotacional,31,41.38
Caja de cambios,Tipología de Palancas,rueda,12,48.6
"Correas, cadenas, rodillos",Aplicaciones en Motores,ruido,33,51.7
Aceite de motor,Uso de Aditivos,sal (química),6,46.6
Aire acondicionado,Mantenimiento del Compresor,salud,1,32.9
Accesorios para coches,Regulaciones y Normativas de Tráfico,sangre,1,46.0
Aceite de motor,Uso de Aditivos,satisfacción del cliente,15,46.3
Accesorios para coches,Sistemas de Antenas Automotrices,satélite artificial,1,50.16
Aire acondicionado,Mantenimiento del Compresor,scroll,1,33.9
Aire acondicionado,Garantías y Repuestos,seguridad,2,45.56
Calefacción y ventilación,Control de Temperatura Automotriz,seguridad vial,6,48.38
Caja de cambios,Funcionalidad de Palancas,sensor,27,50.47
Accesorios para coches,Sistemas de Antenas Automotrices,señal analógica,3,42.1
Accesorios para coches,Sistemas de Antenas Automotrices,señal de audio,2,38.94
Caja de cambios,Clasificación de Transmisiones,sistema,3,64.8
Accesorios para coches,Historial y Mantenimiento de Vehículos,sistema complejo,3,40.53
Caja de cambios,Clasificación de Transmisiones,sistema de control,11,55.12
Aire acondicionado,Diagnóstico del Sistema,sistema de drenaje,1,30.36
Caja de cambios,Clasificación de Transmisiones,sistema de electrificación ferroviaria,3,59.6
Carrocería,Sistemas de Cierre Centralizado,sistema de suministro eléctrico,3,47.47
Caja de cambios,Funcionalidad de Palancas,sistema de transmisión,7,31.86
Aire acondicionado,Diagnóstico del Sistema,sistema frigorífico,9,37.72
Accesorios para coches,Sistemas de Antenas Automotrices,sistema global de navegación por satélite,1,70.94
Carrocería,Sistemas de Cierre Centralizado,software,13,60.56
Carrocería,Accesorios de Molduras Automotrices,sol,1,30.3
Aire acondicionado,Diagnóstico del Sistema,soldadura,1,38.72
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,solenoide,5,42.28
Accesorios para coches,Sistemas de Antenas Automotrices,sonido,34,49.62
Aire acondicionado,Diagnóstico del Sistema,sostenibilidad,5,58.75
Aire acondicionado,Diagnóstico del Sistema,succión,1,29.44
Aire acondicionado,Limpieza y Conservación,suciedad,5,31.55
Accesorios para coches,Regulaciones y Normativas de Tráfico,suecia,1,50.1
Amortiguación,Evaluación de Calidad de Amortiguadores,suspensión (automóvil),4,74.9
Aceite de motor,Uso de Aditivos,sustancia química,6,42.62
"Correas, cadenas, rodillos",Aplicaciones en Motores,síntoma,74,51.03
Accesorios para coches,Dispositivos de Monitoreo Vehicular,tacógrafo,4,60.0
Accesorios para coches,Dispositivos de Monitoreo Vehicular,tacógrafo digital,4,56.7
Accesorios para coches,Sistemas de Antenas Automotrices,taladradora,2,49.62
Accesorios para coches,Sistemas de Antenas Automotrices,tecnología,19,57.88
Accesorios para coches,Dispositivos de Monitoreo Vehicular,tecnologías de la información y la comunicación,2,38.1
Aceite de motor,Temperatura del Aceite,tecnologías emergentes,1,19.58
Accesorios para coches,Dispositivos de Monitoreo Vehicular,telemetría,2,32.25
Accesorios para coches,Dispositivos de Monitoreo Vehicular,teléfono inteligente,2,58.9
Aceite de motor,Uso de Aditivos,temperatura,90,46.25
Aire acondicionado,Diagnóstico del Sistema,temperatura ambiente,2,22.73
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,temperatura de funcionamiento,2,41.72
Accesorios para coches,Dispositivos de Monitoreo Vehicular,tempo,8,52.88
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,tensión (electricidad),37,55.47
Aire acondicionado,Diagnóstico del Sistema,termodinámica,2,51.7
Aceite de motor,Temperatura del Aceite,termorregulación,5,41.56
Aire acondicionado,Diagnóstico del Sistema,termostato,2,52.03
Aire acondicionado,Diagnóstico del Sistema,termómetro,2,41.56
Carrocería,Estructuras de Vidrio Automotriz,teu (unidad de medida),5,25.58
Aire acondicionado,Diagnóstico del Sistema,tibia,1,24.16
Accesorios para coches,Sistemas de Antenas Automotrices,tiempo real,8,38.78
Accesorios para coches,Sistemas de Antenas Automotrices,tipo de carrocería,4,54.4
Accesorios para coches,Sistemas de Antenas Automotrices,todoterreno,1,47.62
Accesorios para coches,Sistemas de Antenas Automotrices,toma de decisiones,4,49.03
Accesorios para coches,Sistemas de Antenas Automotrices,tornillo,8,61.44
Caja de cambios,Funcionalidad de Palancas,tracción,15,35.22
Aire acondicionado,Diagnóstico del Sistema,transferencia de calor,2,42.9
Caja de cambios,Clasificación de Transmisiones,transmisión (vehículos),3,82.94
Caja de cambios,Funcionalidad de Palancas,transmisión automática,18,66.25
Accesorios para coches,Sistemas de Antenas Automotrices,transmisión digital de audio,2,61.88
Caja de cambios,Funcionalidad de Palancas,transmisión manual,10,71.8
Caja de cambios,Funcionalidad de Palancas,transmisión mecánica,18,71.94
Caja de cambios,Funcionalidad de Palancas,transmisión variable continua,7,70.1
Accesorios para coches,Dispositivos de Monitoreo Vehicular,transparencia política,1,35.94
Carrocería,Elementos de Seguridad Estructural,transporte,6,62.47
Accesorios para coches,Historial y Mantenimiento de Vehículos,turbocompresor,3,76.1
Accesorios para coches,Dispositivos de Monitoreo Vehicular,unidad de masa atómica,1,56.12
Accesorios para coches,Dispositivos de Monitoreo Vehicular,universal serial bus,1,35.75
Caja de cambios,Clasificación de Transmisiones,usabilidad,3,73.6
Carrocería,Elementos de Seguridad Estructural,usuario (informática),8,54.8
Aire acondicionado,Diagnóstico del Sistema,vacío,2,38.2
Amortiguación,Componentes de Amortiguación Silenciosa,vaina (munición),1,47.9
Aire acondicionado,Garantías y Repuestos,valor agregado,1,72.56
Aceites y líquidos,Evaluación de Líquidos de Frenos,vapor (estado),4,42.2
Calefacción y ventilación,Control de Temperatura Automotriz,vapor de agua,1,61.9
Aceite de motor,Uso de Aditivos,vehículo,139,34.7
Caja de cambios,Clasificación de Transmisiones,vehículo autónomo,3,76.8
Accesorios para coches,Dispositivos de Monitoreo Vehicular,vehículo comercial ligero,1,30.22
Accesorios para coches,Soluciones de Purificación de Aire,vehículo eléctrico,6,67.1
Accesorios para coches,Historial y Mantenimiento de Vehículos,vehículo híbrido,3,71.4
Accesorios para coches,Sistemas de Antenas Automotrices,vehículo todoterreno,3,49.8
Caja de cambios,Funcionalidad de Palancas,velocidad,19,39.5
Calefacción y ventilación,Control de Temperatura Automotriz,ventilación (arquitectura),2,49.72
Aire acondicionado,Diagnóstico del Sistema,ventilador,2,52.12
Accesorios para coches,Sistemas de Antenas Automotrices,vibración,38,44.2
Aceite de motor,Uso de Aditivos,vida útil,90,44.72
Accesorios para coches,Soluciones de Purificación de Aire,virus,1,39.38
Aceite de motor,Uso de Aditivos,viscosidad,13,37.03
Calefacción y ventilación,Control de Temperatura Automotriz,visibilidad,1,31.88
Carrocería,Elementos de Seguridad Estructural,vuelco del vehículo,2,58.9
"Correas, cadenas, rodillos",Aplicaciones en Motores,vulcanización,31,58.2
Aire acondicionado,Diagnóstico del Sistema,válvula,2,38.3
"Correas, cadenas, rodillos",Aplicaciones en Motores,válvula de asiento,31,61.9
Aire acondicionado,Diagnóstico del Sistema,válvula de expansión,2,27.69
Aire acondicionado,Mantenimiento del Compresor,válvula termoiónica,1,38.47
Accesorios para coches,Historial y Mantenimiento de Vehículos,world wide web,2,44.2
Aceite de motor,Uso de Aditivos,zinc,6,48.9
Aire acondicionado,Diagnóstico del Sistema,zumbido,3,39.6
Aceite de motor,Uso de Aditivos,ácido,6,44.56
Aceite de motor,Uso de Aditivos,ácido orgánico,6,40.94
Aire acondicionado,Diagnóstico del Sistema,índice gwp,1,48.88
