catg,subcatg,entity,count,TA_score
Cafeteras y hervidores,Tipos de Cafeteras,fogón (locomotora de vapor),1,46.72
Cocinas,Renovación y Decoración,fontanería,2,40.16
Batidoras,Equipos de Cocina,fragaria,1,49.25
Aspiradoras,Marcas Destacadas de Aspiradoras,frecuencia,15,42.9
Cocinas,Equipamiento y Accesorios,fregadero,11,48.72
Aspiradoras,Tipología de Aspiradoras,fregona,9,43.28
Cafeteras y hervidores,Tipos de Cafeteras,freidora,3,68.1
Cafeteras y hervidores,Tipos de Cafeteras,freidora de aire,3,64.6
Cuidado del aire,Control de Humedad,fresco,1,53.9
Cuidado del aire,Mantenimiento del Aire,fricción,2,54.03
Cafeteras y hervidores,Tipos de Cafeteras,fritura,3,62.47
Batidoras,Equipos de Cocina,fruta,9,59.53
Batidoras,Equipos de Cocina,fruta del bosque,1,36.6
Batidoras,Equipos de Cocina,fruta tropical,1,41.62
Batidoras,Equipos de Cocina,fruto seco,3,36.56
Cocinas,Equipamiento y Accesorios,fuego,18,55.38
Aspiradoras,Marcas Destacadas de Aspiradoras,fuerza centrífuga,6,24.48
Cocinas,Tipología de Cocinas,fuga de gas,2,54.2
Cocinas,Equipamiento y Accesorios,fundición gris,2,50.2
Cafeteras y hervidores,Tipos de Cafeteras,fungi,7,48.1
Cuidado del aire,Neutralización de Olores,furgoneta,1,42.47
Barras de sonido,Integración de Sonido Inteligente,fábula,1,24.77
Cocinas,Equipamiento y Accesorios,fósforo (utensilio),2,57.12
Cocinas,Equipamiento y Accesorios,g20,1,38.66
Aspiradoras,Marcas Destacadas de Aspiradoras,galicia,1,62.25
Aires acondicionados,Tecnología Inverter,gas,37,59.62
Cocinas,Tipología de Cocinas,gas de alumbrado,1,62.0
Cocinas,Equipamiento y Accesorios,gas gas,1,45.8
Cocinas,Equipamiento y Accesorios,gas natural,13,47.53
Cocinas,Equipamiento y Accesorios,gasto energético,4,49.84
Aspiradoras,Tipología de Aspiradoras,georg friedrich händel,6,44.3
Aspiradoras,Tipología de Aspiradoras,giróscopo,2,54.1
Aspiradoras,Aspiradoras para Mascotas,goma,6,37.94
Altavoces,Dispositivos Inteligentes de Sonido,google,18,55.2
Barras de sonido,Asistentes de Voz Integrados,google chromecast,1,61.72
Altavoces,Dispositivos Inteligentes de Sonido,google play,1,76.3
Aspiradoras,Marcas Destacadas de Aspiradoras,gordejuela,1,53.03
Cafeteras y hervidores,Tipos de Cafeteras,gourmet,2,62.38
Altavoces,Opciones de Potencia y Rendimiento,grabación y reproducción de sonido,2,55.84
Cuidado del aire,Neutralización de Olores,grado celsius,1,47.1
Altavoces,Altavoces Portátiles Avanzados,grado de protección ip,1,33.75
Cocinas,Tipología de Cocinas,grado sexagesimal,4,44.1
Aspiradoras,Tipología de Aspiradoras,grafito,6,34.8
Aspiradoras,Marcas Destacadas de Aspiradoras,gramo,1,14.39
Aspiradoras,Marcas Destacadas de Aspiradoras,gran canaria,1,61.38
Cocinas,Tipología de Cocinas,granada,4,45.4
Cocinas,Renovación y Decoración,granito,2,42.38
Cafeteras y hervidores,Tipos de Cafeteras,grasa,52,50.1
Cocinas,Tipología de Cocinas,gratinado,1,55.8
,Tipología de Aspiradoras,gravedad,1,58.1
Cocinas,Renovación y Decoración,grifo,2,23.34
Cafeteras y hervidores,Tipología de Aspiradoras,gris,2,44.97
Cocinas,Tipología de Cocinas,grupo electrógeno,1,62.8
Aspiradoras,Aspiradoras para Mascotas,guante,5,53.0
Aspiradoras,Aspiradoras para Mascotas,guantes de látex,5,43.56
Aspiradoras,Marcas Destacadas de Aspiradoras,guiso,1,54.75
Aspiradoras,Marcas Destacadas de Aspiradoras,guía michelin,1,53.16
Barras de sonido,Integración de Sonido Inteligente,hans zimmer,1,33.9
Altavoces,Dispositivos Inteligentes de Sonido,hardware,8,57.12
Aspiradoras,Marcas Destacadas de Aspiradoras,harina,1,52.56
Barras de sonido,Integración de Sonido Inteligente,harman kardon,1,23.36
Aires acondicionados,Tecnología Inverter,helada,1,60.53
Aspiradoras,Tipología de Aspiradoras,hepa,22,53.88
Aspiradoras,Marcas Destacadas de Aspiradoras,hercio,9,37.03
Aspiradoras,Aspiradoras Robotizadas,herramienta de corte,1,36.25
Cocinas,Equipamiento y Accesorios,hidrógeno,7,54.44
Batidoras,Equipos de Cocina,hielo,3,40.4
Cocina al vapor,Técnicas de Cocción Vapor,hierbas,2,46.8
Cocinas,Equipamiento y Accesorios,hierro,3,47.53
Cocinas,Equipamiento y Accesorios,hierro forjado,1,35.44
Altavoces,Opciones de Potencia y Rendimiento,high-definition multimedia interface,6,58.47
Cuidado del aire,Aromatización del Espacio,higiene,34,81.75
Altavoces,Dispositivos Inteligentes de Sonido,hisense,13,56.62
Cocinas,Equipamiento y Accesorios,hogar (fuego),9,80.8
Cafeteras y hervidores,Tipos de Cafeteras,horneado,1,37.34
Cocinas,Equipamiento y Accesorios,horno,23,60.47
Cocinas,Equipamiento y Accesorios,horno bajo,1,41.1
Aires acondicionados,Tecnología Inverter,horno de microondas,43,68.8
Cocina al vapor,Técnicas de Cocción Vapor,hortaliza,2,72.44
Aspiradoras,Marcas Destacadas de Aspiradoras,hostal,1,52.7
Aspiradoras,Marcas Destacadas de Aspiradoras,hostelería,1,53.53
Aspiradoras,Marcas Destacadas de Aspiradoras,hoznayo,1,50.7
Cuidado del aire,Control de Humedad,html,1,43.2
Aspiradoras,Marcas Destacadas de Aspiradoras,huarte,1,53.0
Aspiradoras,Aspiradoras para Mascotas,huevo (alimento),11,70.1
Cafeteras y hervidores,Tipos de Cafeteras,humedad,37,51.38
Cuidado del aire,Control de Humedad,humedad del aire,2,45.2
Aspiradoras,Marcas Destacadas de Aspiradoras,humidificador,10,57.9
Aspiradoras,Marcas Destacadas de Aspiradoras,ibiza,1,52.9
Barras de sonido,Integración de Sonido Inteligente,idioma inglés,1,28.86
Cafeteras y hervidores,Tipos de Cafeteras,illy,2,61.16
Barras de sonido,Integración de Sonido Inteligente,imagen,1,50.62
Aires acondicionados,Tecnología Inverter,impacto ambiental,3,55.12
Cuidado del aire,Mantenimiento del Aire,imperdible,1,51.0
Cocinas,Equipamiento y Accesorios,impresora,3,52.75
Cocinas,Renovación y Decoración,imprimación,4,65.5
Barras de sonido,Integración de Sonido Inteligente,imágenes de alto rango dinámico,1,46.1
Cuidado del aire,Control de Humedad,incendio,1,51.8
Aspiradoras,Marcas Destacadas de Aspiradoras,incio,1,17.55
Cocinas,Tipología de Cocinas,indesit,8,46.9
Cocinas,Equipamiento y Accesorios,inducción electromagnética,10,51.3
Cuidado del aire,Neutralización de Olores,inductor,1,49.2
Cocinas,Mantenimiento y Limpieza,infección,7,56.2
Aires acondicionados,Tecnología Inverter,información,12,40.72
Cafeteras y hervidores,Tipos de Cafeteras,infusión,22,46.7
Cafeteras y hervidores,Tipología de Aspiradoras,ingeniero,4,56.47
Cafeteras y hervidores,Métodos de Preparación,ingeniería,3,59.4
Aires acondicionados,Tecnología Inverter,ingeniería eléctrica,1,44.9
Aspiradoras,Marcas Destacadas de Aspiradoras,innovación,3,74.4
Cuidado del aire,Aromatización del Espacio,inodoro,22,82.25
Cocinas,Tipología de Cocinas,instalación (arte),1,53.72
Cocinas,Equipamiento y Accesorios,instalación eléctrica,1,67.4
Aires acondicionados,Manuales y Guías,intercambiador de calor,1,64.4
Altavoces,Configuración y Conectividad,interfaz,5,26.5
Cafeteras y hervidores,Tipos de Cafeteras,interfaz de usuario,2,41.12
Aspiradoras,Marcas Destacadas de Aspiradoras,internet,4,63.6
Aires acondicionados,Tecnología Inverter,inversión,6,45.7
Aires acondicionados,Mecanismos de Calefacción,invierno,15,49.38
Cuidado del aire,Mantenimiento del Aire,ion,2,22.6
Altavoces,Dispositivos Inteligentes de Sonido,ios,12,63.28
Altavoces,Configuración y Conectividad,ipad,1,52.62
Altavoces,Dispositivos Inteligentes de Sonido,iphone,2,64.8
Aspiradoras,Aspiradoras Robotizadas,irobot,5,42.9
Cocinas,Renovación y Decoración,irán,4,61.88
Barras de sonido,Integración de Sonido Inteligente,islas baleares,1,26.31
Cafeteras y hervidores,Tipos de Cafeteras,italia,23,53.16
Batidoras,Equipos de Cocina,jabón,55,60.84
Aspiradoras,Marcas Destacadas de Aspiradoras,jalisco,2,32.1
Cafeteras y hervidores,Métodos de Preparación,jarra,15,54.53
Altavoces,Altavoces Portátiles Avanzados,jazz,1,37.2
Altavoces,Configuración y Conectividad,jugabilidad,1,43.25
Batidoras,Equipos de Cocina,jugo de frutas,41,67.56
Batidoras,Equipos de Cocina,jugo de limón,41,77.6
Aspiradoras,Aspiradoras para Mascotas,juguete,5,50.0
Altavoces,Opciones de Potencia y Rendimiento,karaoke,1,41.03
Batidoras,Equipos de Cocina,katana,1,43.38
Aspiradoras,Marcas Destacadas de Aspiradoras,kilogramo,21,40.25
Cocinas,Equipamiento y Accesorios,kilovatio hora,5,68.44
Batidoras,Equipos de Cocina,kiwi,1,52.25
Aspiradoras,Marcas Destacadas de Aspiradoras,la rioja (españa),1,53.97
Cuidado del aire,Mantenimiento del Aire,laca,1,56.38
Batidoras,Equipos de Cocina,lactuca sativa,3,49.88
Cuidado del aire,Mantenimiento del Aire,lana,1,57.28
Batidoras,Equipos de Cocina,lasaña,1,37.44
Altavoces,Configuración y Conectividad,latencia,2,35.56
Cafeteras y hervidores,Tipos de Cafeteras,latte macchiato,5,42.47
Batidoras,Equipos de Cocina,lava,6,38.56
Aires acondicionados,Tecnología Inverter,lavadora,21,58.7
Cuidado del aire,Control de Humedad,lavandula,1,44.03
Aires acondicionados,Tecnología Inverter,lavavajillas,18,60.56
Cafeteras y hervidores,Tipos de Cafeteras,lavazza,2,47.16
Batidoras,Equipos de Cocina,leche,18,51.12
Cafeteras y hervidores,Tipos de Cafeteras,lector de códigos de barras,2,44.97
Aspiradoras,Marcas Destacadas de Aspiradoras,led,21,55.9
Cocinas,Diseño y Distribución,legumbre,4,60.72
Cafeteras y hervidores,Métodos de Preparación,lejía,3,49.12
Aspiradoras,Marcas Destacadas de Aspiradoras,león (españa),1,55.16
Altavoces,Dispositivos Inteligentes de Sonido,lg corporation,12,35.12
Aspiradoras,Tipología de Aspiradoras,libertad,1,64.7
Batidoras,Equipos de Cocina,libertad de circulación,1,19.66
Batidoras,Equipos de Cocina,licuado,1,47.97
Batidoras,Equipos de Cocina,licuadora (trituración),2,53.8
Batidoras,Equipos de Cocina,licuadora de mano,5,52.75
Aspiradoras,Aspiradoras Robotizadas,lidar,4,47.53
Aspiradoras,Marcas Destacadas de Aspiradoras,limpiafondos,2,80.75
Cafeteras y hervidores,Tipos de Cafeteras,limpieza,52,59.6
Cafeteras y hervidores,Mantenimiento y Limpieza,limón,12,53.88
Barras de sonido,Asistentes de Voz Integrados,linear pulse code modulation,2,28.78
Barras de sonido,Integración de Sonido Inteligente,lisboa,1,29.3
Aspiradoras,Marcas Destacadas de Aspiradoras,litio,5,26.69
Cafeteras y hervidores,Tipología de Aspiradoras,litro,6,53.62
Cocinas,Equipamiento y Accesorios,llama (química),7,60.56
Aspiradoras,Marcas Destacadas de Aspiradoras,longitud,1,21.31
Cafeteras y hervidores,Tipos de Cafeteras,longitud (cartografía),2,40.6
Altavoces,Altavoces Portátiles Avanzados,loop (música),1,29.28
Cafeteras y hervidores,Tipos de Cafeteras,los molinillos,1,24.2
Altavoces,Altavoces Portátiles Avanzados,lp,1,26.3
Cafeteras y hervidores,Tipos de Cafeteras,lubricante,2,56.2
Cocinas,Diseño y Distribución,luminosidad,4,52.38
Cocinas,Diseño y Distribución,luna,1,76.8
Cocinas,Equipamiento y Accesorios,luz,21,49.0
Cuidado del aire,Control de Humedad,luz solar,1,46.97
Aspiradoras,Aspiradoras Sin Cable,láser,5,42.4
Aspiradoras,Aspiradoras para Mascotas,látex,5,52.56
Batidoras,Equipos de Cocina,líquido,40,60.62
Aspiradoras,Aspiradoras Robotizadas,madera,27,60.03
Cocinas,Tipología de Cocinas,madrid,4,47.53
Batidoras,Equipos de Cocina,magdalena (alimento),1,40.4
Cocinas,Diseño y Distribución,magnetización,3,50.7
Batidoras,Equipos de Cocina,mandarina,1,55.03
Batidoras,Equipos de Cocina,mango (fruta),2,48.44
Aspiradoras,Marcas Destacadas de Aspiradoras,mango (instrumento),2,21.77
Aspiradoras,Marcas Destacadas de Aspiradoras,manguera,1,25.16
Cocinas,Renovación y Decoración,mano de obra,6,45.6
Cocinas,Tipología de Cocinas,manorreductor,2,41.0
Altavoces,Altavoces Portátiles Avanzados,manos libres,1,28.5
Aspiradoras,Accesorios y Recambios,mantenimiento preventivo,1,57.3
Batidoras,Equipos de Cocina,manzana,25,58.47
Cafeteras y hervidores,Tipos de Cafeteras,manómetro,2,30.31
Aspiradoras,Marcas Destacadas de Aspiradoras,marca,3,78.0
Barras de sonido,Asistentes de Voz Integrados,marca (registro),1,26.22
Cafeteras y hervidores,Tipos de Cafeteras,marcilla,2,42.2
Cocina al vapor,Técnicas de Cocción Vapor,marisco,5,62.72
Barras de sonido,Integración de Sonido Inteligente,marruecos,1,29.16
Aspiradoras,Marcas Destacadas de Aspiradoras,martín berasategui,1,53.6
Cuidado del aire,Mantenimiento del Aire,mascarilla,1,47.88
Altavoces,Opciones de Potencia y Rendimiento,masterización,1,56.1
Aspiradoras,Marcas Destacadas de Aspiradoras,mataró,1,57.4
Cafeteras y hervidores,Tipos de Cafeteras,mate (infusión),1,41.1
Aires acondicionados,Tecnología Inverter,medio ambiente natural,18,52.1
Cocinas,Mantenimiento y Limpieza,melamina,2,64.94
Altavoces,Altavoces Portátiles Avanzados,melodía,1,44.56
Aspiradoras,Aspiradoras Sin Cable,memoria (proceso),3,38.34
Aires acondicionados,Mecanismos de Calefacción,mercado,55,55.88
Cocinas,Equipamiento y Accesorios,mercado eléctrico de españa,4,64.4
Cocinas,Equipamiento y Accesorios,mercadona,7,45.16
Batidoras,Equipos de Cocina,merengue (alimento),1,45.38
Batidoras,Equipos de Cocina,merengue (género musical),1,35.4
Cocinas,Equipamiento y Accesorios,metal,5,50.62
Cuidado del aire,Control de Humedad,metro cuadrado,3,31.7
Aspiradoras,Aspiradoras para Mascotas,microfibra,6,50.72
Aires acondicionados,Tecnología Inverter,microondas,5,43.44
Barras de sonido,Integración de Sonido Inteligente,microprocesador,1,63.38
Aspiradoras,Accesorios y Recambios,microsoft surface,1,55.4
Altavoces,Opciones de Potencia y Rendimiento,micrófono,2,53.53
Cuidado del aire,Control de Humedad,midea (argólide),1,27.8
Cocinas,Equipamiento y Accesorios,milibar,1,36.8
Cafeteras y hervidores,Tipos de Cafeteras,milímetro,7,31.77
Cafeteras y hervidores,Métodos de Preparación,mineral,4,47.03
Cocinas,Renovación y Decoración,minimalismo,8,60.6
Aspiradoras,Aspiradoras Robotizadas,ministerio de obras públicas (chile),5,33.2
Cafeteras y hervidores,Tipos de Cafeteras,mitigación del cambio climático,2,27.16
Aspiradoras,Aspiradoras Robotizadas,mobiliario,48,68.4
Cafeteras y hervidores,Métodos de Preparación,moho,39,62.56
Cafeteras y hervidores,Tipos de Cafeteras,molienda del café,1,58.28
Cafeteras y hervidores,Tipos de Cafeteras,molinillo de café,6,61.56
Cafeteras y hervidores,Tipos de Cafeteras,molino,5,54.47
Altavoces,Opciones de Potencia y Rendimiento,monitor de computadora,1,46.53
Envasado al vacío,Equipos de Envasado,montes tauro,1,44.25
Aspiradoras,Marcas Destacadas de Aspiradoras,mopa seca,9,36.7
Aspiradoras,Marcas Destacadas de Aspiradoras,moqueta (objeto),2,47.3
Batidoras,Equipos de Cocina,mora (fruta),1,32.78
Cocinas,Renovación y Decoración,mosaico,4,62.1
Aspiradoras,Marcas Destacadas de Aspiradoras,motilla del palancar,1,56.2
Aires acondicionados,Tecnología Inverter,motor,20,47.6
Cafeteras y hervidores,Tipos de Cafeteras,moulinex,2,27.31
,Tipología de Aspiradoras,movimiento de rotación,1,56.47
Altavoces,Altavoces Portátiles Avanzados,mp3,1,34.97
Aspiradoras,Marcas Destacadas de Aspiradoras,mugaritz,1,49.1
Aspiradoras,Accesorios y Recambios,multitarea,1,22.7
Aspiradoras,Marcas Destacadas de Aspiradoras,mutilva,1,50.75
Cafeteras y hervidores,Tipos de Cafeteras,máquina eléctrica,1,52.1
Cuidado del aire,Mantenimiento del Aire,médium,1,23.19
Altavoces,Opciones de Potencia y Rendimiento,música,3,43.8
Altavoces,Altavoces Portátiles Avanzados,música electrónica,1,26.95
Cuidado del aire,Control de Humedad,nailon,2,51.8
Cafeteras y hervidores,Tipología de Aspiradoras,naranja (color),2,47.38
Batidoras,Equipos de Cocina,naranja (fruta),24,60.9
Aires acondicionados,Tecnología Inverter,nariz,1,56.47
Cocinas,Diseño y Distribución,naturaleza,1,52.62
Aspiradoras,Marcas Destacadas de Aspiradoras,navaluenga,1,49.1
Aspiradoras,Marcas Destacadas de Aspiradoras,navarra,1,52.62
Aspiradoras,Aspiradoras Robotizadas,navegación,13,46.56
Cocinas,Equipamiento y Accesorios,navidad,1,42.03
Cafeteras y hervidores,Tipos de Cafeteras,nespresso,3,58.38
Barras de sonido,Integración de Sonido Inteligente,netflix,1,40.34
Cocinas,Tipología de Cocinas,neumático,1,67.56
Cuidado del aire,Mantenimiento del Aire,neutrón,1,71.56
Aspiradoras,Marcas Destacadas de Aspiradoras,nube,1,53.62
Batidoras,Equipos de Cocina,nugget de pollo,1,47.7
Batidoras,Equipos de Cocina,nutrición,6,53.62
Batidoras,Equipos de Cocina,nutrimento,18,52.62
Aires acondicionados,Tecnología Inverter,ocio,1,25.84
Cuidado del aire,Control de Humedad,oficina del censo de los estados unidos,1,30.23
Cafeteras y hervidores,Métodos de Preparación,olfato,29,55.0
Cocinas,Tipología de Cocinas,olla a presión,7,59.38
Cocina al vapor,Recetas de Alimentos al Vapor,olla vaporera,18,53.4
Aspiradoras,Marcas Destacadas de Aspiradoras,ollauri,1,52.56
Cuidado del aire,Aromatización del Espacio,olor,36,65.94
Altavoces,Opciones de Potencia y Rendimiento,onda,1,47.44
Altavoces,Opciones de Potencia y Rendimiento,onda sonora,2,35.75
Cafeteras y hervidores,Tipos de Cafeteras,orden (biología),14,36.6
Cocinas,Equipamiento y Accesorios,organización de consumidores y usuarios,3,37.34
Barras de sonido,Integración de Sonido Inteligente,orgía,1,23.31
Cocinas,Tipología de Cocinas,oriente medio,1,50.03
Aspiradoras,Tipología de Aspiradoras,oro,2,46.4
Altavoces,Opciones de Potencia y Rendimiento,pa (electroacústica),1,43.1
Altavoces,Configuración y Conectividad,palanca de mando,1,47.56
Aspiradoras,Marcas Destacadas de Aspiradoras,palomitas de maíz,2,36.25
Altavoces,Altavoces Portátiles Avanzados,panel de instrumentos,1,20.25
Aspiradoras,Marcas Destacadas de Aspiradoras,panel táctil,2,48.8
Cocinas,Equipamiento y Accesorios,pantalla de cristal líquido,7,51.9
Altavoces,Opciones de Potencia y Rendimiento,pantalla led,2,42.44
Aspiradoras,Marcas Destacadas de Aspiradoras,pantalla táctil,2,63.9
Cafeteras y hervidores,Tipos de Cafeteras,papas fritas,3,56.38
Altavoces,Opciones de Potencia y Rendimiento,papel,8,57.8
Cocinas,Renovación y Decoración,papel pintado,4,67.6
Aspiradoras,Aspiradoras Robotizadas,parachoques,1,18.53
Barras de sonido,Integración de Sonido Inteligente,parche (informática),1,28.19
,Tipología de Aspiradoras,parqué,1,56.38
Cocinas,Tipología de Cocinas,parrilla,3,54.7
Cocinas,Mantenimiento y Limpieza,parrillada,1,46.2
Batidoras,Equipos de Cocina,pasapurés,1,27.7
Aspiradoras,Tipología de Aspiradoras,pascal (unidad),8,38.34
Cocina al vapor,Técnicas de Cocción Vapor,pasta,26,57.9
Aspiradoras,Aspiradoras para Mascotas,pelaje,5,50.75
Aspiradoras,Aspiradoras para Mascotas,pelo,5,51.16
Altavoces,Opciones de Potencia y Rendimiento,película de 35 mm,1,32.25
Cuidado del aire,Mantenimiento del Aire,percha,1,55.75
Aspiradoras,Marcas Destacadas de Aspiradoras,performance,2,34.88
Cocinas,Equipamiento y Accesorios,periférico (informática),3,52.28
Altavoces,Configuración y Conectividad,periférico de entrada,1,39.66
Cocinas,Diseño y Distribución,perpendicularidad,1,80.94
Batidoras,Equipos de Cocina,perreo,1,35.78
Cocinas,Equipamiento y Accesorios,peróxido,7,58.88
Cocinas,Equipamiento y Accesorios,peróxido de hidrógeno,7,49.53
Batidoras,Equipos de Cocina,pescado,43,52.47
Aspiradoras,Tipología de Aspiradoras,philips,15,39.03
Cafeteras y hervidores,Tipos de Cafeteras,piano,1,46.38
Batidoras,Equipos de Cocina,picador,2,47.2
Batidoras,Equipos de Cocina,piel,7,44.75
Aspiradoras,Aspiradoras para Mascotas,pienso compuesto,5,53.75
Cocinas,Renovación y Decoración,pintura (material),4,77.44
Cafeteras y hervidores,Mantenimiento y Limpieza,pipeta,1,27.19
Cocinas,Equipamiento y Accesorios,pirólisis,1,53.84
Altavoces,Altavoces Portátiles Avanzados,piscina,1,26.19
Cocina al vapor,Técnicas de Cocción Vapor,pisum sativum,2,55.8
Cocinas,Renovación y Decoración,pizarra (roca),4,69.8
Aspiradoras,Marcas Destacadas de Aspiradoras,pizza,2,36.44
Cocinas,Mantenimiento y Limpieza,plancha de cocina,1,13.45
Aspiradoras,Marcas Destacadas de Aspiradoras,plancha de ropa,1,52.8
Cocinas,Renovación y Decoración,planeamiento,2,50.3
Cocinas,Equipamiento y Accesorios,plasma (estado de la materia),3,41.84
Altavoces,Altavoces Portátiles Avanzados,playa,1,23.36
Altavoces,Configuración y Conectividad,playstation (marca),2,40.62
Altavoces,Configuración y Conectividad,playstation 4,2,56.88
Cocinas,Equipamiento y Accesorios,plástico,18,57.03
Aspiradoras,Marcas Destacadas de Aspiradoras,polen,5,45.25
Cocinas,Diseño y Distribución,policarbonato,1,47.44
Cocinas,Renovación y Decoración,policloruro de vinilo,4,61.75
Cuidado del aire,Control de Humedad,poliéster,2,47.44
Aspiradoras,Marcas Destacadas de Aspiradoras,polvo,54,54.9
Altavoces,Altavoces Portátiles Avanzados,pop,1,37.06
Cocinas,Renovación y Decoración,porcelana,4,58.9
Cocinas,Equipamiento y Accesorios,porifera,14,49.6
Aspiradoras,Aspiradoras para Mascotas,porosidad,5,35.4
Altavoces,Opciones de Potencia y Rendimiento,portabilidad,3,41.62
Cocinas,Tipología de Cocinas,portugal,2,44.53
Aspiradoras,Marcas Destacadas de Aspiradoras,postre,1,67.0
Aspiradoras,Marcas Destacadas de Aspiradoras,potencia (física),34,51.44
Cocinas,Equipamiento y Accesorios,potencia acústica,1,30.38
Cocinas,Equipamiento y Accesorios,potencia eléctrica,5,48.12
Aspiradoras,Tipología de Aspiradoras,precio,1,69.7
Aspiradoras,Tipología de Aspiradoras,presión,29,44.0
Cafeteras y hervidores,Tipos de Cafeteras,presión de vapor,3,57.28
Cocinas,Renovación y Decoración,presupuesto,8,62.88
Cuidado del aire,Mantenimiento del Aire,prevención de enfermedades,1,44.12
Barras de sonido,Integración de Sonido Inteligente,prime video,1,32.66
Barras de sonido,Asistentes de Voz Integrados,procesado de señal,1,35.2
Barras de sonido,Asistentes de Voz Integrados,procesamiento digital de señales,1,24.95
Aspiradoras,Aspiradoras Robotizadas,programación,4,43.12
Cocinas,Equipamiento y Accesorios,propano,4,57.1
Cuidado del aire,Mantenimiento del Aire,protón,1,64.1
Batidoras,Equipos de Cocina,prunus persica,1,47.28
Cuidado del aire,Mantenimiento del Aire,prurito,1,46.1
Batidoras,Equipos de Cocina,pulpa,1,51.38
Cuidado del aire,Aromatización del Espacio,pulverizador,23,54.84
Cuidado del aire,Neutralización de Olores,punto caliente (geología),1,40.2
Aires acondicionados,Tecnología Inverter,purificador de aire,3,54.62
Batidoras,Equipos de Cocina,puré,1,21.81
Batidoras,Tipología de Aspiradoras,página web,5,50.62
Barras de sonido,Integración de Sonido Inteligente,píxel,1,56.9
Cafeteras y hervidores,Tipos de Cafeteras,púlsar,2,49.7
Cocinas,Equipamiento y Accesorios,quemador,17,58.03
Cafeteras y hervidores,Métodos de Preparación,quemadura,6,53.9
Batidoras,Equipos de Cocina,queso,3,54.56
Batidoras,Equipos de Cocina,quiche,1,40.97
Aspiradoras,Aspiradoras Robotizadas,radiación infrarroja,2,51.38
Aspiradoras,Tipología de Aspiradoras,radiación ultravioleta,5,39.44
Aires acondicionados,Mecanismos de Calefacción,radiador,15,69.06
Cuidado del aire,Control de Humedad,radiador (motores),1,71.5
Altavoces,Opciones de Potencia y Rendimiento,radio (medio de comunicación),2,49.44
Aspiradoras,Tipología de Aspiradoras,radio 3,2,28.4
Altavoces,Opciones de Potencia y Rendimiento,radio fm,1,40.2
Barras de sonido,Sincronización de Audio Avanzada,radiotransmisor,1,33.88
Altavoces,Opciones de Potencia y Rendimiento,rango dinámico,1,39.22
Cocinas,Mantenimiento y Limpieza,rayón,2,66.75
Cocinas,Diseño y Distribución,raza (censo de los estados unidos),3,44.62
Cocinas,Equipamiento y Accesorios,razonamiento inductivo,7,61.16
Barras de sonido,Integración de Sonido Inteligente,realidad virtual,1,42.84
Cafeteras y hervidores,Tipos de Cafeteras,recibo,1,59.7
Cocinas,Diseño y Distribución,reciclaje,4,50.8
Cocinas,Tipología de Aspiradoras,recipiente,53,48.4
Cocinas,Renovación y Decoración,recubrimiento,4,69.1
Cafeteras y hervidores,Tipos de Cafeteras,reducción (química),1,29.34
Altavoces,Altavoces Portátiles Avanzados,reducción de ruido,1,33.03
Batidoras,Equipos de Cocina,reducción-oxidación,5,44.38
Aires acondicionados,Tecnología Inverter,refrigeración,2,41.28
Aires acondicionados,Tecnología Inverter,refrigerador,34,66.75
Cuidado del aire,Control de Humedad,refrigerante,2,60.47
Cuidado del aire,Control de Humedad,refrigerante (refrigeración),1,52.53
Aspiradoras,Marcas Destacadas de Aspiradoras,regulación automática,1,36.28
Cocinas,Equipamiento y Accesorios,reloj,2,49.9
Aires acondicionados,Manuales y Guías,rendimiento térmico,1,40.06
Aspiradoras,Marcas Destacadas de Aspiradoras,rentería,1,52.9
Altavoces,Opciones de Potencia y Rendimiento,reproducción,1,48.6
Cocinas,Equipamiento y Accesorios,resistencia calentadora,1,58.28
Barras de sonido,Asistentes de Voz Integrados,resolución 4k,3,50.0
Barras de sonido,Integración de Sonido Inteligente,resolución de imagen,1,50.53
Barras de sonido,Integración de Sonido Inteligente,resolución de pantalla,1,68.8
Cuidado del aire,Control de Humedad,respetuoso con el medio ambiente,3,46.88
Cuidado del aire,Control de Humedad,respiración,2,56.12
Altavoces,Opciones de Potencia y Rendimiento,respuesta en frecuencia,1,47.88
Aspiradoras,Marcas Destacadas de Aspiradoras,restaurante,1,63.7
Cuidado del aire,Control de Humedad,reumatismo,1,44.38
Aspiradoras,Marcas Destacadas de Aspiradoras,revolución por minuto,1,27.1
Cocinas,Diseño y Distribución,riel,1,62.4
Cafeteras y hervidores,Tipos de Cafeteras,ristretto,2,70.7
Aspiradoras,Tipología de Aspiradoras,robert bosch gmbh,17,34.06
Aspiradoras,Tipología de Aspiradoras,robot,18,52.1
Aspiradoras,Aspiradoras Sin Cable,robot doméstico,4,48.38
Altavoces,Altavoces Portátiles Avanzados,rock,2,28.77
Aspiradoras,Aspiradoras Sin Cable,rockstar games,3,33.28
Aspiradoras,Tipología de Aspiradoras,rojo,11,44.38
Altavoces,Dispositivos Inteligentes de Sonido,roku,1,57.75
Aspiradoras,Tipología de Aspiradoras,roomba,9,62.75
Cocinas,Equipamiento y Accesorios,ropa,25,53.9
Cuidado del aire,Aromatización del Espacio,ropa de cama,22,69.9
Aspiradoras,Marcas Destacadas de Aspiradoras,rueda,1,43.97
Aspiradoras,Marcas Destacadas de Aspiradoras,ruido,6,47.16
